POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #54 BARCLAY ELEM,2900 BARCLAY ST,BALTIMORE,MD,21218,07,43,014,12006  12007 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #55 HAMPDEN ELEM,3608 CHESTNUT AVE,BALTIMORE,MD,21211,07,43,014,13011  13012  13013,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #58  ASHBURTON ELEM,3935 HILTON RD,BALTIMORE,MD,21215,07,40,006,15004  15005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,07,40,007,15006  15014,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #61 DOROTHY HEIGHT ELEM  ,2011 LINDEN AVE,BALTIMORE,MD,21217,07,40,007,13010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #62  EDGECOMBE CIRCLE ELEM,2835 VIRGINIA AVE,BALTIMORE,MD,21215,07,40,006,27053,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #63 ROSEMONT ELEM,2777 PRESSTMAN ST,BALTIMORE,MD,21216,07,40,009,16011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #64 LIBERTY ELEM,3901 MAINE AVE,BALTIMORE,MD,21207,07,41,006,15009  28007  28008,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #67  EDGEWOOD ELEM,1900 EDGEWOOD ST,BALTIMORE,MD,21216,07,41,007,15011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #7 CECIL ELEM,2000 CECIL AVE,BALTIMORE,MD,21218,07,45,012,09013  09014,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #73 SARAH M ROACH ELEM,3434 OLD FREDERICK RD,BALTIMORE,MD,21229,07,41,008,20007  20008,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #76 F SCOTT KEY ELEM,1425 E FORT AVE,BALTIMORE,MD,21230,03,46,011,24005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #8 CITY SPRINGS ELEM/MIDDLE,100 S CAROLINE ST,BALTIMORE,MD,21231,07,46,012,03001  03002 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #80 WEST BALTIMORE,201 NORTHBEND RD,BALTIMORE,MD,21229,07,44A,008,28015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #83 WM PACA ELEM,200 N LAKEWOOD AVE,BALTIMORE,MD,21224,07,46,013,06001   06005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #85 FORT WORTHINGTON ELEM,2701 E OLIVER ST,BALTIMORE,MD,21213,07,45,013,08010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #855   SUCCESS ACADEMY,2201 PINEWOOD AVE,BALTIMORE,MD,21214,07,43,003,27015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #86 LAKEWOOD ELEM,2625 E FEDERAL ST,BALTIMORE,MD,21213,07,45,013,08011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #87 WINDSOR HILL ELEM,4001 ALTO RD,BALTIMORE,MD,21216,07,41,006,15010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #88 WILDWOOD ELEMENTARY/MIDDLE ,621 WILDWOOD PKWY,BALTIMORE,MD,21229,07,41,008,16014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #95 FRANKLIN SQ ELEM,1400 W LEXINGTON ST,BALTIMORE,MD,21223,07,44A,009,19001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #98 SAMUEL F B MORSE ELEM,424 S PULASKI ST,BALTIMORE,MD,21223,07,40,009,20011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SHILOH UNITED CHURCH APOSTOLIC,2000 DRUID PARK DRIVE,BALTIMORE,MD,21211,03,40,007,13005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLO GIBBS REC CTR,1044 LEADENHALL ST AT CROSS ST,BALTIMORE,MD,21230,03,46,011,23002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH BALTIMORE LEARNING CTR,28 E OSTEND ST-ENTRANCE PATAPSCO ST,BALTIMORE,MD,21230,03,46,011,23001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHEAST ANCHOR LIBRARY,3601 EASTERN AVE   ,BALTIMORE,MD,21224,03,46,001,26009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST BERNARDINES CHURCH HALL,614 MT HOLLY ST,BALTIMORE,MD,21229,07,41,008,16013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST DAVIDS CHURCH,4700 ROLAND AVE,BALTIMORE,MD,21210,03,41,006,27045,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST HELENA COMMUNITY ASSOC,6509 COLGATE AVE,BALTIMORE,MD,21222,02,46,001,26001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST LEOS CHURCH HALL,225 S EXETER ST,BALTIMORE,MD,21202,03,46,001,03003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST MARYS CHURCH OF GOVANS,5502 YORK RD,BALTIMORE,MD,21212,03,43,004,27039,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS CHURCH HALL,520 S PONCA ST - REAR,BALTIMORE,MD,21224,03,46,001,26006   26007,2,,,,,,,,,,,,,,,,,,,,,,,,,,
STEADMAN FIRE STATION,15 S EUTAW ST,BALTIMORE,MD,21201,07,40,011,04002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
THE ELLERSLIE,601 WYANOKE AVE,BALTIMORE,MD,21218,07,43,004,09002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
THE GREENMOUNT SCHOOL,501 W 30TH ST,BALTIMORE,MD,21211,07,43,014,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
THE LEAGUE FOR PEOPLE WITH DISABILITIES,1111 E COLDSPRING LANE,BALTIMORE,MD,21239,07,43,003,27026 27027,2,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3400 NORMAN AVENUE,BALTIMORE,MD,21213,03,45,003,08001  08002  08008   08009,4,,,,,,,,,,,,,,,,,,,,,,,,,,
VOTING MACHINE WAREHOUSE,301 N FRANKLINTOWN RD,BALTIMORE,MD,21223,07,44A,009,20004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
WAR MEMORIAL BUILDING,101 N GAY ST ENTER ON LEXINGTON,BALTIMORE,MD,21202,07,46,011,04001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
WAXTER CENTER,1000 CATHEDRAL ST,BALTIMORE,MD,21201,07,45,012,11007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTSIDE SKILL CENTER,4501 EDMONDSON AVE-REAR OF BLDG-ENTER ON ATHOL AVE,BALTIMORE,MD,21229,07,44A,008,28013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODHOME REC CTR,7310 MOYER AVE,BALTIMORE,MD,21234,03,45,003,27011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
WYMAN HOUSE,123 W 29TH ST,BALTIMORE,MD,21218,07,43,012,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
