POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
REACH PARTNERSHIP  - COMM SPACE,2554 HARFORD ROAD,BALTIMORE,MD,21218,7,43,14,09-008,,39.318856,-76.5933,1,range_interpolation,2554,Harford Rd,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
REACH PARTNERSHIP  - COMM SPACE,2555 HARFORD ROAD,BALTIMORE,MD,21218,7,43,14,09-012,2,39.317547,-76.593593,1,rooftop,2555,Harford Rd,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
ROOSEVELT RECREATION CENTER,1221 W 36TH ST,BALTIMORE,MD,21211,3,40,7,13-003,1,39.33039,-76.636265,1,rooftop,1221,W 36th St,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
RUSCOMBE GARDEN APTS,4800 YELLOWWOOD AVE,BALTIMORE,MD,21209,7,41,6,27-048,1,39.347073,-76.658876,1,rooftop,4800,Yellowwood Ave,,,Baltimore,MD,Baltimore City,21209,US,City of Baltimore (City of Baltimore)
SCHOOL #10 MCHENRY ELEM,31 S SCHROEDER ST,BALTIMORE,MD,21223,7,40,9,18-002,1,39.288123,-76.633572,1,rooftop,31,S Schroeder St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #105 MORAVIA PARK ELEM,6001 FRANKFORD AVE,BALTIMORE,MD,21206,2,45,2,26-015,1,39.319439,-76.540695,1,rooftop,6001,Frankford Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #11 EUTAW-MARSHBURN ELEM,1624 EUTAW PL,BALTIMORE,MD,21217,7,44A,11,14-004,1,39.306532,-76.629937,1,rooftop,1624,Eutaw Pl,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #12 LAKELAND ELEM/MID,2921  STRANDEN RD (REC CTR),BALTIMORE,MD,21230,2,46,10,25-005,1,39.253701,-76.645016,1,rooftop,2921,Stranden Rd,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,505 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,9,11-004,,39.299491,-76.625547,1,range_interpolation,505,W Preston St,,,Baltimore,MD,Baltimore City,21201,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,506 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,10,17-001,,39.299471,-76.62633,1,rooftop,506,W Preston St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,507 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,7,44A,11,17-002,3,39.298807,-76.625984,1,rooftop,507,W Preston St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
SCHOOL #13 TENCH TILGHMAN ELEM,599 N PATTERSON PARK AVE,BALTIMORE,MD,21205,7,45,13,07-002,,39.297365,-76.584904,1,range_interpolation,599,N Patterson Park Ave,,,Baltimore,MD,Baltimore City,21205,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #13 TENCH TILGHMAN ELEM,600 N PATTERSON PARK AVE,BALTIMORE,MD,21205,7,45,13,07-003,2,39.297776,-76.585239,1,rooftop,600,N Patterson Park Ave,,,Baltimore,MD,Baltimore City,21205,US,City of Baltimore (City of Baltimore)
SCHOOL #145 HAMILTON ELEM,800 POPLAR GROVE ST,BALTIMORE,MD,21216,7,40,9,16-009,1,39.297456,-76.665288,1,rooftop,800,Poplar Grove St,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #15 STADIUM SCHOOL,1399 EXETER HALL AVE,BALTIMORE,MD,21218,7,43,14,09-009,,39.321431,-76.602617,0.9,nearest_rooftop_match,1400,Exeter Hall Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #15 STADIUM SCHOOL,1400 EXETER HALL AVE,BALTIMORE,MD,21218,7,43,14,09-011,2,39.321431,-76.602617,1,rooftop,1400,Exeter Hall Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #150  MARY ANN WINTERLING ELEM,220 N BENTALOU ST,BALTIMORE,MD,21223,7,44A,9,20-001,1,39.291646,-76.653759,1,rooftop,220,N Bentalou St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #159 CHERRY HILL ELEM,801 BRIDGEVIEW ROAD,BALTIMORE,MD,21225,2,46,10,25-009,1,39.247932,-76.623968,1,rooftop,801,Bridgeview Rd,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
SCHOOL #16 JOHNSTON SQ ELEM,1100 VALLEY ST,BALTIMORE,MD,21202,7,45,12,10-001,,39.302981,-76.604993,1,range_interpolation,1100,Valley St,,,Baltimore,MD,Baltimore City,21202,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #16 JOHNSTON SQ ELEM,1101 VALLEY ST,BALTIMORE,MD,21202,7,45,12,10-004,2,39.303588,-76.604386,1,rooftop,1101,Valley St,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
SCHOOL #164 ARUNDEL ELEM,2400 ROUND RD,BALTIMORE,MD,21225,2,46,10,25-008,1,39.25151,-76.627906,1,rooftop,2400,Round Rd,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
SCHOOL #177 GEORGE MCMECHEN JR/SR,4410 GARRISON BLVD,BALTIMORE,MD,21215,7,41,6,15-001,,39.33676,-76.684906,1,range_interpolation,4410,Garrison Blvd,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #177 GEORGE MCMECHEN JR/SR,4411 GARRISON BLVD,BALTIMORE,MD,21215,7,41,6,28-003,2,39.337453,-76.68414,1,rooftop,4411,Garrison Blvd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #178 FRANCIS M. WOOD ALTERNATIVE HIGH,1001 W SARATOGA ST,BALTIMORE,MD,21223,7,40,9,18-001,1,39.292303,-76.634126,1,rooftop,1001,W Saratoga St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #201 DICKEY HILL ELEM,5025 DICKEY HILL RD,BALTIMORE,MD,21207,7,41,8,28-009,1,39.31147,-76.703618,1,rooftop,5025,Dickey Hill Rd,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
SCHOOL #203 MARIE FARRING ELEM,299 PONTIAC AVE,BALTIMORE,MD,21225,2,46,10,25-011,,39.236584,-76.607974,0.9,range_interpolation,299,E Pontiac Ave,,,Brooklyn,MD,Baltimore City,21225,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #203 MARIE FARRING ELEM,300 PONTIAC AVE,BALTIMORE,MD,21225,2,46,10,25-012,2,39.236684,-76.606562,1,rooftop,300,Pontiac Ave,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
SCHOOL #21 HILTON ELEM,3301 CARLISLE AVE,BALTIMORE,MD,21216,7,41,7,15-007,1,39.319162,-76.673844,1,rooftop,3301,Carlisle Ave,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #210 HAZELWOOD ELEM,4515 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-027,,39.339046,-76.540361,1,range_interpolation,4515,Hazelwood Ave,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #210 HAZELWOOD ELEM,4516 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-028,,39.339144,-76.539548,1,range_interpolation,4516,Hazelwood Ave,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #210 HAZELWOOD ELEM,4517 HAZELWOOD AVE,BALTIMORE,MD,21206,2,45,2,26-029,3,39.338244,-76.538993,1,rooftop,4517,Hazelwood Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #211 GARDENVILLE ELEM,5299 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-026,,39.337503,-76.552585,1,range_interpolation,5299,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #211 GARDENVILLE ELEM,5300 BELAIR RD,BALTIMORE,MD,21206,2,45,2,27-006,2,39.338465,-76.552289,1,rooftop,5300,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #212 GARRETT HGTS ELEM,2799 AILSA AVE,BALTIMORE,MD,21214,7,43,3,27-016,,39.348872,-76.570075,1,range_interpolation,2799,Ailsa Ave,,,Baltimore,MD,Baltimore City,21214,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #212 GARRETT HGTS ELEM,2800 AILSA AVE,BALTIMORE,MD,21214,7,43,3,27-017,2,39.349081,-76.568993,1,rooftop,2800,Ailsa Ave,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
SCHOOL #214 GUILFORD MIDDLE,4519 YORK RD,BALTIMORE,MD,21212,7,43,4,27-036,,39.343949,-76.609278,1,rooftop,4519,York Rd,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
SCHOOL #214 GUILFORD MIDDLE,4520 YORK RD,BALTIMORE,MD,21212,7,43,4,27-037,2,39.34399,-76.610693,1,rooftop,4520,York Rd,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
SCHOOL #215 HIGHLANDTOWN ELEM,3223 E PRATT ST,BALTIMORE,MD,21224,3,46,1,26-010,1,39.289813,-76.570581,1,rooftop,3223,E Pratt St,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
SCHOOL #217 BELMONT ELEM,1406 N ELLAMONT ST,BALTIMORE,MD,21216,7,40,9,16-012,1,39.303415,-76.670976,1,rooftop,1406,N Ellamont St,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #219 YORKWOOD ELEM,5930 YORKWOOD RD,BALTIMORE,MD,21239,7,43,4,27-019,,39.362757,-76.584328,1,range_interpolation,5930,Yorkwood Rd,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #219 YORKWOOD ELEM,5931 YORKWOOD RD,BALTIMORE,MD,21239,7,43,4,27-021,2,39.362507,-76.584159,1,range_interpolation,5931,Yorkwood Rd,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #22 GEORGE WASHINGTON ELEM,798 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-001,,39.281177,-76.628904,1,range_interpolation,798,Scott St,,,Baltimore,MD,Baltimore City,21230,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #22 GEORGE WASHINGTON ELEM,799 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-002,,39.2812,-76.628605,1,range_interpolation,799,Scott St,,,Baltimore,MD,Baltimore City,21230,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #22 GEORGE WASHINGTON ELEM,800 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-004,3,39.281134,-76.628915,1,rooftop,800,Scott St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #220 MORRELL PARK ELEM/MID,2601 TOLLEY ST,BALTIMORE,MD,21230,3,40,10,25-004,1,39.263098,-76.650635,1,rooftop,2601,Tolley St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #223 PIMLICO ELEM,4848 PIMLICO ROAD,BALTIMORE,MD,21215,7,41,6,27-052,,39.348002,-76.668938,1,rooftop,4848,Pimlico Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #223 PIMLICO ELEM,4849 PIMLICO ROAD,BALTIMORE,MD,21215,7,41,6,57-058,2,39.34769,-76.667808,1,rooftop,4849,Pimlico Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #224 GROVE PARK ELEM,5544 KENNISON AVE,BALTIMORE,MD,21215,7,41,5,28-002,,39.342727,-76.6991,1,range_interpolation,5544,Kennison Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #224 GROVE PARK ELEM,5545 KENNISON AVE,BALTIMORE,MD,21215,7,41,5,28-004,2,39.342249,-76.699109,1,rooftop,5545,Kennison Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #225 WESTPORT ELEM,2401 NEVADA ST,BALTIMORE,MD,21230,2,46,10,25-006,1,39.262147,-76.637842,1,rooftop,2401,Nevada St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #226 VIOLETVILLE ELEM/MID,1205 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-003,,39.2673,-76.673856,1,range_interpolation,1205,Pine Heights Ave,,,Baltimore,MD,Baltimore City,21229,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #226 VIOLETVILLE ELEM/MID,1206 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-017,,39.267699,-76.674851,1,rooftop,1206,Pine Heights Ave,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #226 VIOLETVILLE ELEM/MID,1207 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-018,3,39.26778,-76.674044,1,rooftop,1207,Pine Heights Ave,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #23 GENERAL WOLFE ELEM,244 S WOLFE ST,BALTIMORE,MD,21231,3,46,13,02-001,,39.28817,-76.59039,1,rooftop,244,S Wolfe St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #23 GENERAL WOLFE ELEM,245 S WOLFE ST,BALTIMORE,MD,21231,3,46,13,02-002,2,39.288049,-76.589954,1,rooftop,245,S Wolfe St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #231 BREHMS LANE ELEM,3534 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-020,,39.321289,-76.564972,1,range_interpolation,3534,Brehms Ln,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #231 BREHMS LANE ELEM,3535 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-021,,39.321564,-76.566508,0.9,nearest_rooftop_match,3536,Brehms Ln,,,Baltimore,MD,Baltimore City,21213,US,Statewide MD
SCHOOL #231 BREHMS LANE ELEM,3536 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-032,3,39.321383,-76.566311,1,rooftop,3536,Brehms Ln,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #232 THOMAS JEFFERSON ELEM,603 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-010,,39.294869,-76.699171,1,range_interpolation,603,Dryden Dr,,,Baltimore,MD,Baltimore City,21229,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #232 THOMAS JEFFERSON ELEM,604 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-011,,39.295018,-76.699433,1,range_interpolation,604,Dryden Dr,,,Baltimore,MD,Baltimore City,21229,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #232 THOMAS JEFFERSON ELEM,605 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-012,3,39.295322,-76.698145,1,rooftop,605,Dryden Dr,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #233 ROLAND PARK MIDDLE,5207 ROLAND AVE,BALTIMORE,MD,21210,3,41,6,27-044,1,39.357562,-76.63453,1,rooftop,5207,Roland Ave,,,Baltimore,MD,Baltimore City,21210,US,City of Baltimore (City of Baltimore)
SCHOOL #235 GLENMOUNT ELEM/MID,6210 WALTHER AVE,BALTIMORE,MD,21206,2,45,2,27-007,,39.351726,-76.543281,1,rooftop,6210,Walther Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #235 GLENMOUNT ELEM/MID,6211 WALTHER AVE,BALTIMORE,MD,21206,2,45,2,27-008,2,39.351926,-76.54135,1,rooftop,6211,Walther Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #236  HAMILTON ELEM/MID,6101 OLD  HARFORD RD,BALTIMORE,MD,21214,7,45,3,27-014,1,39.358193,-76.556257,1,range_interpolation,6101,Harford Rd,,,Baltimore,MD,Baltimore City,21214,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #239 MASONVILLE COVE @ BEN FRANKLIN,1201 CAMBRIA ST,BALTIMORE,MD,21225,2,46,10,25-015,1,39.232822,-76.59361,1,rooftop,1201,Cambria St,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
SCHOOL #240 GRACELAND PARK ELEM,6299 ODONNELL ST,BALTIMORE,MD,21224,2,46,1,26-002,,39.281423,-76.540816,1,range_interpolation,6299,Odonnell St,,,Baltimore,MD,Baltimore City,21224,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #240 GRACELAND PARK ELEM,6300 ODONNELL ST,BALTIMORE,MD,21224,2,46,1,26-003,2,39.282614,-76.539395,1,rooftop,6300,Odonnell St,,,Baltimore,MD,Baltimore City,21224,US,Statewide MD
SCHOOL #241 FALLSTAFF MIDDLE,3800 FALLSTAFF RD,BALTIMORE,MD,21215,3,41,5,27-067,,39.363325,-76.705096,1,rooftop,3800,Fallstaff Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #241 FALLSTAFF MIDDLE,3801 FALLSTAFF RD,BALTIMORE,MD,21215,3,41,5,28-001,2,39.36274,-76.705045,1,rooftop,3801,Fallstaff Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #242 NORTHWOOD ELEM,5198 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-022,,39.352228,-76.590528,1,range_interpolation,5198,Loch Raven Blvd,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #242 NORTHWOOD ELEM,5199 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-023,,39.352152,-76.590238,1,range_interpolation,5199,Loch Raven Blvd,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #242 NORTHWOOD ELEM,5200 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-024,,39.352506,-76.590773,1,rooftop,5200,Loch Raven Blvd,,,Baltimore,MD,Baltimore City,21239,US,City of Baltimore (City of Baltimore)
SCHOOL #242 NORTHWOOD ELEM,5201 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-030,4,39.352289,-76.589823,1,rooftop,5201,Loch Raven Blvd,,,Baltimore,MD,Baltimore City,21239,US,City of Baltimore (City of Baltimore)
SCHOOL #245 LEITH WALK ELEM SCH,1234 SHERWOOD AVENUE,BALTIMORE,MD,21239,3,43,4,27-020,,39.365887,-76.591179,1,rooftop,1234,Sherwood Ave,,,Baltimore,MD,Baltimore City,21239,US,City of Baltimore (City of Baltimore)
SCHOOL #245 LEITH WALK ELEM SCH,1235 SHERWOOD AVENUE,BALTIMORE,MD,21239,3,43,4,27-031,2,39.365459,-76.591223,1,rooftop,1235,Sherwood Ave,,,Baltimore,MD,Baltimore City,21239,US,City of Baltimore (City of Baltimore)
SCHOOL #246 ANNEX BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,8,28-014,1,39.280736,-76.693641,1,rooftop,301,S Beechfield Ave,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #246 BEECHFIELD ELEM,300 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,7,25-001,,39.280848,-76.694342,1,rooftop,300,S Beechfield Ave,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #246 BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,7,44A,8,25-002,2,39.280736,-76.693641,1,rooftop,301,S Beechfield Ave,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #248 SINCLAIR LANE ELEM,3879 SINCLAIR LN,BALTIMORE,MD,21213,3,45,13,26-018,,39.314755,-76.559943,1,rooftop,3879,Sinclair Ln,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #248 SINCLAIR LANE ELEM,3880 SINCLAIR LN,BALTIMORE,MD,21213,3,45,13,26-033,2,39.315127,-76.560533,1,rooftop,3880,Sinclair Ln,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #250 DR. BERNARD HARRIS SR ELEM,1400 N CAROLINE ST,BALTIMORE,MD,21213,7,45,12,08-006,1,39.306706,-76.598428,1,rooftop,1400,N Caroline St,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #251 CALLAWAY ELEM,3701 FERNHILL AVE,BALTIMORE,MD,21215,7,41,6,15-003,1,39.33656,-76.677895,1,rooftop,3701,Fernhill Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #254 DR MARTIN L KING JR ELEM,3750 GREENSPRING AVE,BALTIMORE,MD,21211,7,40,6,15-023,1,39.333418,-76.656621,1,rooftop,3750,Greenspring Ave,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
SCHOOL #260 FREDERICK ELEM,2499 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,7,20-003,,39.283289,-76.655744,1,range_interpolation,2499,Frederick Ave,,,Baltimore,MD,Baltimore City,21223,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #260 FREDERICK ELEM,2500 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,8,20-009,,39.283456,-76.65611,1,rooftop,2500,Frederick Ave,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #260 FREDERICK ELEM,2501 FREDERICK AVENUE,BALTIMORE,MD,21223,7,44A,9,20-010,3,39.282401,-76.656986,1,rooftop,2501,Frederick Ave,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 259,848 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-006,,39.29738,-76.659697,1,range_interpolation,848,Braddish Ave,,,Baltimore,MD,Baltimore City,21216,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 260,849 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-007,,39.297389,-76.659397,1,range_interpolation,849,Braddish Ave,,,Baltimore,MD,Baltimore City,21216,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 261,850 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-008,,39.297418,-76.659698,1,range_interpolation,850,Braddish Ave,,,Baltimore,MD,Baltimore City,21216,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 262,851 BRADDISH AVE,BALTIMORE,MD,21216,7,40,9,16-010,4,39.297418,-76.659111,1,rooftop,851,Braddish Ave,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #27 COMMODORE RODGERS ELEM,98 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-002,,39.292877,-76.587643,1,range_interpolation,98,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #27 COMMODORE RODGERS ELEM,99 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-003,,39.292897,-76.587344,1,range_interpolation,99,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #27 COMMODORE RODGERS ELEM,100 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-004,3,39.2936,-76.587787,1,rooftop,100,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #28 SANDTOWN-WINCHESTER ACHIEV ACAD,701 GOLD ST,BALTIMORE,MD,21217,7,44A,7,15-019,1,39.306354,-76.640455,1,rooftop,701,Gold St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #29 HENSON ELEM,1600 N PAYSON ST,BALTIMORE,MD,21217,7,40,7,15-017,1,39.306781,-76.650401,1,rooftop,1600,N Payson St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #34 CHARLES CARROLL ELEM,1327 WASHINGTON BLVD,BALTIMORE,MD,21230,3,40,10,21-003,1,39.279829,-76.635948,1,rooftop,1327,Washington Blvd,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #346 CITY NEIGHBORS HAMILTON,5609 SEFTON  AVE - REAR,BALTIMORE,MD,21214,3,45,3,27-005,1,39.350474,-76.554991,1,rooftop,5609,Sefton Ave,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
SCHOOL #37 HARFORD HGTS PRIMARY,1918 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-004,,39.312388,-76.595421,1,range_interpolation,1918,N Broadway,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #37 HARFORD HGTS PRIMARY,1919 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-005,2,39.313512,-76.594653,1,rooftop,1919,N Broadway,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,4999 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-016,,39.318229,-76.546527,1,range_interpolation,4999,Truesdale Ave,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,5000 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-024,2,39.320459,-76.546054,1,rooftop,5000,Truesdale Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #375 BALTIMORE COLLEGIATE SCH FOR BOYS,2500 E NORTHERN PKWY,BALTIMORE,MD,21214,3,43,3,27-013,1,39.366565,-76.561038,1,rooftop,2500,E Northern Pkwy,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
